transaction_id,date_time,amount,merchant_name,category,type,payment_method,location,mood_at_time,context_tag,recurring,user_id,budget_category_limit,agent_action
T0001,2025-04-10 05:46:58,230.68,Whole Foods,Groceries,debit,Cash,Marina,Neutral,Late night,False,user_001,300,
T0002,2025-04-19 05:00:58,282.59,Starbucks,Food,debit,UPI,Campus,Neutral,Late night,False,user_001,200,
T0003,2025-04-20 15:24:58,66.47,McDonald's,Food,debit,Cash,Campus,Excited,Rainy day,True,user_001,100,
T0004,2025-04-02 00:11:58,133.33,Uber,Travel,debit,Cash,Campus,Happy,After exam,False,user_001,100,
T0005,2025-04-01 20:42:58,235.4,Zara,Shopping,debit,Card,Campus,Stressed,Weekend,False,user_001,500,
T0006,2025-04-12 01:11:58,298.71,Swiggy,Food,debit,Card,Marina,Neutral,Weekend,False,user_001,200,
T0007,2025-03-25 01:23:58,16.05,Zara,Shopping,debit,Card,Home,Tired,Shopping mall,False,user_001,200,
T0008,2025-03-24 00:14:58,209.7,Uber,Travel,debit,Wallet,Business Bay,Stressed,Shopping mall,True,user_001,500,
T0009,2025-04-16 19:23:58,219.64,Uber,Travel,debit,Card,Business Bay,Happy,After exam,False,user_001,100,
T0010,2025-03-27 08:32:58,202.63,Uber,Travel,debit,UPI,Campus,Neutral,After exam,False,user_001,500,
T0011,2025-04-01 09:52:58,49.63,Netflix,Entertainment,debit,Cash,Dubai Mall,Excited,Late night,True,user_001,300,
T0012,2025-04-07 17:21:58,195.45,Spotify,Entertainment,debit,Cash,Campus,Excited,Rainy day,True,user_001,300,
T0013,2025-04-05 23:19:58,68.79,Zara,Shopping,debit,UPI,Campus,Stressed,Rainy day,True,user_001,500,
T0014,2025-04-13 16:34:58,98.97,Gym Membership,Health,debit,Wallet,Marina,Neutral,Late night,False,user_001,100,
T0015,2025-04-04 16:59:58,64.69,Amazon,Shopping,debit,Card,Dubai Mall,Happy,Rainy day,True,user_001,200,
T0016,2025-04-11 11:30:58,65.96,Flipkart,Shopping,debit,Cash,Home,Stressed,Workday,True,user_001,500,
T0017,2025-04-05 21:20:58,80.91,Airbnb,Travel,debit,UPI,Marina,Stressed,Late night,True,user_001,500,
T0018,2025-03-28 18:05:58,30.37,Starbucks,Food,debit,Cash,Home,Excited,Weekend,False,user_001,200,
T0019,2025-04-19 13:56:58,77.49,Gym Membership,Health,debit,Cash,Home,Stressed,Rainy day,False,user_001,100,
T0020,2025-04-14 18:15:58,220.07,Spotify,Entertainment,debit,UPI,Dubai Mall,Tired,Rainy day,False,user_001,100,
